
List of user-set options:

                                    Name   Value                used
                           linear_solver = ma57                  yes
                  ma57_automatic_scaling = yes                   yes
                                max_iter = 2000                  yes
                             mu_strategy = adaptive              yes
                             output_file = DynamicOptimization_FtildeStateIPOPTinfo.txt  yes
                             print_level = 5                     yes
                      print_user_options = yes                   yes
                                     tol = 1e-006                yes
This is Ipopt version 3.11.0, running with linear solver ma57.

Number of nonzeros in equality constraint Jacobian...:   386260
Number of nonzeros in inequality constraint Jacobian.:    42048
Number of nonzeros in Lagrangian Hessian.............:    76913

Total number of variables............................:    44187
                     variables with only lower bounds:        0
                variables with lower and upper bounds:    44187
                     variables with only upper bounds:        0
Total number of equality constraints.................:    33650
Total number of inequality constraints...............:    21025
        inequality constraints with only lower bounds:    10488
   inequality constraints with lower and upper bounds:       49
        inequality constraints with only upper bounds:    10488

 123 3.1940308e+000 1.14e-001 1.38e-002  -4.9 2.51e-001  -3.4 1.00e+000 1.00e+000h  1
 124 3.1817099e+000 1.48e-001 2.98e-003  -5.2 4.20e-001  -3.9 1.00e+000 9.06e-001h  1
 125 3.1669307e+000 4.44e-001 7.70e-003  -5.3 9.02e-001  -4.4 1.00e+000 7.33e-001h  1
 126 3.1619740e+000 2.52e+000 8.34e-003  -5.3 6.71e-001  -3.9 1.00e+000 7.91e-001h  1
 127 3.1538469e+000 7.67e-001 4.09e-003  -5.3 5.93e-001  -4.4 1.00e+000 6.81e-001h  1
 128 3.1419676e+000 6.98e-001 8.14e-003  -5.3 1.15e+000  -4.9 1.00e+000 5.22e-001h  1
 129 3.1212900e+000 3.27e+000 1.23e-002  -5.3 3.70e+000  -5.4 1.00e+000 5.75e-001h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 130 3.1229058e+000 2.30e+000 2.27e-003  -5.1 2.57e+000  -5.8 8.39e-001 8.85e-001h  1
 131 3.0954080e+000 5.09e+000 1.38e-003  -5.2 4.33e+000  -6.3 1.00e+000 1.00e+000h  1
 132 3.0816631e+000 4.65e+000 1.53e-003  -5.3 7.42e+000  -6.8 1.00e+000 1.00e+000h  1
 133 3.0899191e+000 6.31e+000 1.61e-002  -5.0 8.07e+001  -7.3 7.05e-002 1.76e-001h  1
 134 3.0878166e+000 4.92e+000 1.25e-002  -5.4 9.38e+000  -5.0 1.00e+000 2.47e-001h  1
 135 3.0686555e+000 7.77e+000 4.19e-003  -5.7 3.56e+000  -5.5 5.10e-001 6.61e-001h  1
 136 3.0632670e+000 2.50e+001 2.87e-003  -5.5 9.45e+000  -6.0 7.33e-001 8.20e-001h  1
 137 3.0755298e+000 1.07e+000 9.17e-003  -5.2 8.14e-001  -4.7 7.95e-001 1.00e+000h  1
 138 3.0692163e+000 9.05e-001 1.04e-002  -5.5 7.89e-001  -4.2 1.00e+000 8.68e-001h  1
 139 3.0630277e+000 3.71e-001 4.27e-003  -5.7 9.00e-001  -4.7 6.55e-001 6.05e-001h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 140 3.0690574e+000 6.12e-001 5.94e-003  -5.4 1.69e+000  -5.2 1.00e+000 8.55e-001h  1
 141 3.0579014e+000 3.53e+000 2.95e-003  -5.6 3.40e+000  -5.7 1.00e+000 9.72e-001h  1
 142 3.0698033e+000 5.23e+000 1.77e-002  -5.4 2.45e+000  -6.2 3.68e-001 7.77e-001h  1
 143 3.0627937e+000 1.53e+000 7.50e-004  -5.6 7.39e-001  -4.8 1.00e+000 1.00e+000h  1
 144 3.0738878e+000 4.78e-001 1.88e-003  -5.3 9.56e-001  -5.3 1.00e+000 1.00e+000h  1
 145 3.0699122e+000 8.59e-002 2.78e-004  -5.4 2.25e-001  -4.9 1.00e+000 1.00e+000h  1
 146 3.0606768e+000 1.39e+000 8.10e-004  -5.6 7.99e-001  -5.4 1.00e+000 9.95e-001h  1
 147 3.0564659e+000 3.32e+000 4.75e-004  -5.6 1.34e+000  -5.8 1.00e+000 1.00e+000h  1
 148 3.0632828e+000 2.41e+000 1.19e-002  -5.3 8.52e+000  -5.4 1.14e-001 4.55e-001h  1
 149 3.0568276e+000 8.67e-001 7.75e-004  -5.6 8.67e-001  -5.0 1.00e+000 1.00e+000h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
